                                                                 18 Apr 2022 10:22:22
FOR UNFUNDED EDUCATIONAL USE ONLY
Planet-Sun


       Time (UTCG)                x (km)               y (km)              z (km)    
17 Aug 2025 18:46:40.000    -122670028.575899      88567621.185147     1593098.963682
18 Aug 2025 17:00:00.000    -123911270.893954      86655416.274468     1524314.426459
19 Aug 2025 15:13:20.000    -125123432.789445      84739020.965633     1458566.332417
20 Aug 2025 13:26:40.000    -126310158.910378      82818271.553818     1395683.389622
21 Aug 2025 11:40:00.000    -127474931.923550      80891922.596778     1335541.824616
22 Aug 2025 09:53:20.000    -128620935.401660      78957649.028558     1278084.153405
23 Aug 2025 08:06:40.000    -129750891.874909      77012191.695643     1223299.033377
24 Aug 2025 06:20:00.000    -130866897.385348      75051631.383461     1171172.077090
25 Aug 2025 04:33:20.000    -131970278.816696      73071748.416934     1121622.953587
26 Aug 2025 02:46:40.000    -133061497.334013      71068408.474911     1074445.373119
27 Aug 2025 01:00:00.000    -134140108.973432      69037920.941134     1029262.031929
27 Aug 2025 23:13:20.000    -135204783.863510      66977327.096949      985502.432003
28 Aug 2025 21:26:40.000    -136253374.819165      64884597.931329      942405.242988
29 Aug 2025 19:40:00.000    -137283022.589675      62758736.719048      899043.943210
30 Aug 2025 17:53:20.000    -138290284.209651      60599794.110177      854372.384612
31 Aug 2025 16:06:40.000    -139271273.493849      58408809.179223      807286.752899
 1 Sep 2025 14:20:00.000    -140221806.344557      56187692.253012      756700.472474
 2 Sep 2025 12:33:20.000    -141137547.899326      53939064.932184      701628.893177
 3 Sep 2025 10:46:40.000    -142014162.457428      51666072.150908      641279.689254
 4 Sep 2025 09:00:00.000    -142847470.292909      49372180.196289      575143.638877
 5 Sep 2025 07:13:20.000    -143633615.460974      47060977.237013      503075.352340
 6 Sep 2025 05:26:40.000    -144369245.753637      44735994.797666      425350.224506
 7 Sep 2025 03:40:00.000    -145051697.520228      42400572.915966      342678.870589
 8 Sep 2025 01:53:20.000    -145679166.730665      40057791.921813      256161.385811
 9 Sep 2025 00:06:40.000    -146250839.090214      37710481.007561      167174.690751
 9 Sep 2025 22:20:00.000    -146766950.790640      35361291.694151       77204.436148
10 Sep 2025 20:33:20.000    -147228763.653873      33012791.681295      -12343.294737
11 Sep 2025 18:46:40.000    -147638457.073538      30667519.818965     -100305.358599
12 Sep 2025 17:00:00.000    -147998958.202280      28327947.680049     -185858.924598
13 Sep 2025 15:13:20.000    -148313738.084907      25996335.248461     -268538.375330
14 Sep 2025 13:26:40.000    -148586599.475113      23674503.311313     -348180.568533
15 Sep 2025 11:40:00.000    -148821471.169585      21363578.694841     -424827.229018
16 Sep 2025 09:53:20.000    -149022215.256513      19063771.053064     -498615.600755
17 Sep 2025 08:06:40.000    -149192448.471867      16774231.821366     -569683.572846
18 Sep 2025 06:20:00.000    -149335379.007329      14493028.594174     -638105.837914
19 Sep 2025 04:33:20.000    -149453663.660607      12217245.899946     -703867.005997
20 Sep 2025 02:46:40.000    -149549293.335467       9943208.671488     -766871.811809
21 Sep 2025 01:00:00.000    -149623517.289460       7666800.663448     -826984.349982
21 Sep 2025 23:13:20.000    -149676814.408564       5383839.336471     -884086.183117
22 Sep 2025 21:26:40.000    -149708915.053658       3090458.193793     -938140.570036
23 Sep 2025 19:40:00.000    -149718870.004678        783448.074932     -989250.621281
24 Sep 2025 17:53:20.000    -149705156.131026      -1539481.096861    -1037701.927441
25 Sep 2025 16:06:40.000    -149665803.625892      -3879541.921437    -1083983.540448
26 Sep 2025 14:20:00.000    -149598527.911685      -6236820.586872    -1128785.150367
27 Sep 2025 12:33:20.000    -149500850.730427      -8610328.972281    -1172971.138212
28 Sep 2025 10:46:40.000    -149370198.689810     -10998139.011536    -1217534.005064
29 Sep 2025 09:00:00.000    -149203972.759950     -13397574.889078    -1263530.527299
30 Sep 2025 07:13:20.000    -148999588.187520     -15805437.255623    -1312004.015287
 1 Oct 2025 05:26:40.000    -148754490.703947     -18218234.284353    -1363896.290043
 2 Oct 2025 03:40:00.000    -148466161.546401     -20632396.429763    -1419953.796052
 3 Oct 2025 01:53:20.000    -148132130.299198     -23044453.559663    -1480634.705031
 4 Oct 2025 00:06:40.000    -147750019.462775     -25451155.451121    -1546028.129256
 4 Oct 2025 22:20:00.000    -147317645.221213     -27849519.427543    -1615802.519145
